day,desktop,mobile,all
06/10/18,55.3734431417096,44.62655685829039,24649
06/17/18,57.46022435662439,42.53977564337561,27278
06/24/18,58.032650906760175,41.96734909323983,26523
07/01/18,54.320533117337355,45.67946688266264,27161
07/08/18,53.87306346826587,46.12693653173413,24012
07/15/18,56.74317981812849,43.25682018187152,27272
07/22/18,56.056466302367944,43.943533697632056,28548
07/29/18,55.38849296019468,44.61150703980532,34518
08/05/18,55.10808144228182,44.89191855771818,33447
08/12/18,54.94633547991413,45.05366452008586,32610
08/19/18,54.56657374220099,45.43342625779902,30132
08/26/18,56.20237829566105,43.79762170433896,31367
09/02/18,54.94278871740287,45.05721128259712,30064
09/09/18,55.45104745617785,44.548952543822146,28068
09/16/18,51.01895811129412,48.981041888705874,30963
09/23/18,54.85835068458578,45.14164931541422,31698
09/30/18,56.278871437708766,43.72112856229124,28142
10/07/18,57.48438026113959,42.515619738860416,26729
10/14/18,55.969491395500356,44.03050860449964,26091
10/21/18,54.504024403689954,45.495975596310046,27209
